Concentration,Rep,Day,Colonies,Dilutions,Morphotypes,Type
0.5,1,1,130,0.01,0,skin
0.5,2,1,127,0.01,0,skin
0.5,3,1,116,0.01,0,skin
0.5,4,1,101,0.01,0,skin
1.25,1,1,19,0.1,0,skin
1.25,2,1,11,0.1,0,skin
1.25,3,1,20,0.1,0,skin
1.25,4,1,19,0.1,0,skin
0,1,47,229,0.0001,14,soil
0,2,47,248,0.0001,17,soil
0,3,47,304,0.0001,15,soil
0,4,47,308,0.0001,18,soil
0,5,47,227,0.0001,22,soil
0.5,1,47,378,0.0001,11,soil
0.5,2,47,407,0.0001,18,soil
0.5,3,47,327,0.0001,16,soil
0.5,4,47,359,0.0001,13,soil
0.5,5,47,403,0.0001,14,soil
1.25,1,47,384,0.0001,22,soil
1.25,2,47,319,0.0001,17,soil
1.25,3,47,380,0.0001,20,soil
1.25,4,47,428,0.0001,19,soil
1.25,5,47,373,0.0001,23,soil
1.7,1,47,307,0.0001,22,soil
1.7,2,47,224,0.0001,22,soil
1.7,3,47,367,0.0001,22,soil
1.7,4,47,343,0.0001,22,soil
1.7,5,47,388,0.0001,20,soil
2.5,1,47,361,0.0001,22,soil
2.5,2,47,405,0.0001,21,soil
2.5,3,47,410,0.0001,11,soil
2.5,4,47,332,0.0001,25,soil
2.5,5,47,292,0.0001,10,soil
5,1,47,260,0.0001,25,soil
5,2,47,298,0.0001,18,soil
5,3,47,139,0.0001,22,soil
5,4,47,180,0.0001,19,soil
5,5,47,265,0.0001,24,soil
